
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5935 deg>, 'src_raj': <Angle 2.30407333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.191296296296, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5, max_drift=31.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 366.038696, Drift Rate -0.047832, index 202032
Top hit found! SNR 3138.960693, Drift Rate -0.019133, index 309451
Top hit found! SNR 314.850555, Drift Rate -0.038266, index 349572
Top hit found! SNR 240907.343750, Drift Rate -0.009566, index 416870
Top hit found! SNR 661.882507, Drift Rate -0.057399, index 436928
Top hit found! SNR 24.455801, Drift Rate -0.191330, index 456984
Top hit found! SNR 18.671825, Drift Rate 0.105231, index 464105
Top hit found! SNR 29.032917, Drift Rate -0.248729, index 477039
Top hit found! SNR 41.015160, Drift Rate -0.019133, index 484163
Top hit found! SNR 207.611862, Drift Rate -0.000000, index 491520
Top hit found! SNR 66.419044, Drift Rate -0.000000, index 509016
Top hit found! SNR 60.161335, Drift Rate -0.000000, index 516534
Top hit found! SNR 97097.109375, Drift Rate 0.009566, index 524289
Top hit found! SNR 60.161339, Drift Rate -0.000000, index 532042
Top hit found! SNR 66.419052, Drift Rate -0.000000, index 539560
Top hit found! SNR 207.611862, Drift Rate -0.000000, index 557056
Top hit found! SNR 41.015171, Drift Rate 0.019133, index 564413
Top hit found! SNR 29.032921, Drift Rate 0.248729, index 571537
Top hit found! SNR 18.671822, Drift Rate -0.105231, index 584471
Top hit found! SNR 24.455797, Drift Rate 0.191330, index 591592
Top hit found! SNR 661.882385, Drift Rate 0.057399, index 611648
Top hit found! SNR 240907.328125, Drift Rate 0.009566, index 631706
Top hit found! SNR 314.850555, Drift Rate 0.038266, index 699004
Top hit found! SNR 3138.959961, Drift Rate 0.019133, index 739125
Top hit found! SNR 366.038727, Drift Rate 0.047832, index 846544
Top hit found! SNR 196.158722, Drift Rate 28.087214, index 525572
Top hit found! SNR 1111.567261, Drift Rate -0.000000, index 794942
Top hit found! SNR 1470.993286, Drift Rate -0.000000, index 17021
Top hit found! SNR 138.506638, Drift Rate -0.009566, index 251379
Top hit found! SNR 257.696777, Drift Rate -0.000000, index 405981
Top hit found! SNR 77.344696, Drift Rate -4.553649, index 524078
Top hit found! SNR 14.992517, Drift Rate -0.000000, index 801752
Top hit found! SNR 37.276539, Drift Rate -0.000000, index 900693
Top hit found! SNR 10.680342, Drift Rate -0.000000, index 933675
Top hit found! SNR 2784.661377, Drift Rate -0.000000, index 17021
Top hit found! SNR 14.509171, Drift Rate -0.000000, index 181924
Top hit found! SNR 18.567554, Drift Rate -0.000000, index 280865
Top hit found! SNR 72.178497, Drift Rate -0.000000, index 346828
Top hit found! SNR 68.634583, Drift Rate -0.000000, index 511732
Top hit found! SNR 63.738754, Drift Rate 2.075928, index 524382
Top hit found! SNR 48920.152344, Drift Rate -0.000000, index 676636
Top hit found! SNR 10.337702, Drift Rate -0.000000, index 709617
Top hit found! SNR 20.487980, Drift Rate -0.000000, index 775576
Top hit found! SNR 42.096184, Drift Rate -0.000000, index 808558
Top hit found! SNR 16.366785, Drift Rate -0.000000, index 841539
Top hit found! SNR 15.776231, Drift Rate -0.000000, index 907503
Top hit found! SNR 62.930634, Drift Rate -0.000000, index 940480
Top hit found! SNR 96.425972, Drift Rate -0.000000, index 957699
Top hit found! SNR 34.408131, Drift Rate -0.000000, index 1006443
Top hit found! SNR 10.541818, Drift Rate -0.019133, index 1014635
Top hit found! SNR 94.728668, Drift Rate -0.028699, index 1027045
Top hit found! SNR 11.426238, Drift Rate -0.000000, index 122771
Top hit found! SNR 15.873218, Drift Rate -0.000000, index 155753
Top hit found! SNR 6025.671387, Drift Rate -0.000000, index 287675
Top hit found! SNR 79.981194, Drift Rate 7.576660, index 524636
Top hit found! SNR 14.752876, Drift Rate -0.000000, index 617482
Top hit found! SNR 12.483247, Drift Rate -0.000000, index 815368
Top hit found! SNR 4386.429688, Drift Rate -0.000000, index 947290
Top hit found! SNR 37.588165, Drift Rate -0.028699, index 1027045
Top hit found! SNR 28.267235, Drift Rate -0.000000, index 37446
Top hit found! SNR 20.156658, Drift Rate -0.000000, index 63618
Top hit found! SNR 15.116142, Drift Rate -0.000000, index 162558
Top hit found! SNR 13.412129, Drift Rate -0.000000, index 393425
Top hit found! SNR 11.299325, Drift Rate -0.000000, index 426407
Top hit found! SNR 84.584549, Drift Rate -21.687233, index 523297
Top hit found! SNR 60406.585938, Drift Rate -0.000000, index 558329
Top hit found! SNR 11.990748, Drift Rate -0.000000, index 624292
Top hit found! SNR 35.407803, Drift Rate -0.000000, index 690251
Top hit found! SNR 66.023102, Drift Rate -0.000000, index 723233
Top hit found! SNR 24.019474, Drift Rate -0.000000, index 748364
Top hit found! SNR 17.645870, Drift Rate -0.000000, index 756215
Top hit found! SNR 29.067659, Drift Rate -0.000000, index 789196
Top hit found! SNR 142.925186, Drift Rate -0.000000, index 822173
Top hit found! SNR 51.102230, Drift Rate -0.000000, index 855155
Top hit found! SNR 37.255260, Drift Rate -0.000000, index 888137
Top hit found! SNR 64.921944, Drift Rate -0.000000, index 921118
Top hit found! SNR 11.069531, Drift Rate -0.000000, index 947290
Top hit found! SNR 138.087326, Drift Rate -0.000000, index 954100
Top hit found! SNR 57.997009, Drift Rate -0.000000, index 987077
Top hit found! SNR 208.949631, Drift Rate -0.000000, index 37446
Top hit found! SNR 13.844415, Drift Rate -0.000000, index 70428
Top hit found! SNR 63.639683, Drift Rate -0.000000, index 103405
Top hit found! SNR 60.993378, Drift Rate -0.000000, index 136386
Top hit found! SNR 84267.921875, Drift Rate -0.000000, index 169368
Top hit found! SNR 59.215092, Drift Rate -0.000000, index 202350
Top hit found! SNR 42.166084, Drift Rate -0.000000, index 235331
Top hit found! SNR 92.812843, Drift Rate -0.000000, index 268309
Top hit found! SNR 186.196045, Drift Rate -0.000000, index 301290
Top hit found! SNR 40.681694, Drift Rate -0.000000, index 334272
Top hit found! SNR 178.883896, Drift Rate -0.009566, index 433212
Top hit found! SNR 70.817795, Drift Rate -0.000000, index 466194
Top hit found! SNR 80.818359, Drift Rate -0.000000, index 499176
Top hit found! SNR 81.923706, Drift Rate -16.817888, index 523517
Top hit found! SNR 75.667305, Drift Rate -0.000000, index 532158
Top hit found! SNR 229.302261, Drift Rate -0.000000, index 565139
Top hit found! SNR 23.737110, Drift Rate -0.000000, index 598116
Top hit found! SNR 32.399895, Drift Rate -0.000000, index 631098
Top hit found! SNR 11.877131, Drift Rate -0.000000, index 664080
Top hit found! SNR 36.240051, Drift Rate -0.000000, index 697061
Top hit found! SNR 14.070759, Drift Rate -0.000000, index 730043
Top hit found! SNR 7122.737793, Drift Rate -0.000000, index 828983
Top hit found! SNR 11.240026, Drift Rate -0.000000, index 861965
Top hit found! SNR 10.137544, Drift Rate -0.000000, index 894947
Top hit found! SNR 10.693208, Drift Rate -0.000000, index 927924
Top hit found! SNR 1334.528442, Drift Rate -0.000000, index 51062
Top hit found! SNR 44.453148, Drift Rate -0.000000, index 110215
Top hit found! SNR 11.324359, Drift Rate -0.000000, index 143197
Top hit found! SNR 24.389809, Drift Rate -0.000000, index 178359
Top hit found! SNR 30.383097, Drift Rate -0.000000, index 275119
Top hit found! SNR 32.707870, Drift Rate -0.000000, index 310323
Top hit found! SNR 2169.141846, Drift Rate -0.000000, index 342535
Top hit found! SNR 12.485223, Drift Rate -0.000000, index 374059
Top hit found! SNR 9683.777344, Drift Rate -0.000000, index 440022
Top hit found! SNR 11.612668, Drift Rate -0.000000, index 473004
Top hit found! SNR 77.280716, Drift Rate -30.717999, index 522884
Top hit found! SNR 16.135342, Drift Rate -0.000000, index 538963
Top hit found! SNR 31.485182, Drift Rate -0.000000, index 571944
Top hit found! SNR 18.612387, Drift Rate -0.000000, index 604926
Top hit found! SNR 25.233244, Drift Rate -0.000000, index 703867
Top hit found! SNR 15.464381, Drift Rate -0.000000, index 835793
Top hit found! SNR 12.422463, Drift Rate -0.009566, index 868770
Top hit found! SNR 18362.982422, Drift Rate -0.000000, index 51062
Top hit found! SNR 24.815496, Drift Rate -0.000000, index 215965
Top hit found! SNR 10.865685, Drift Rate -0.000000, index 281929
Top hit found! SNR 50.642662, Drift Rate -0.000000, index 314906
Top hit found! SNR 10.630125, Drift Rate -0.000000, index 380869
Top hit found! SNR 25.777040, Drift Rate -0.000000, index 446832
Top hit found! SNR 14.670134, Drift Rate -0.000000, index 479810
Top hit found! SNR 15.844003, Drift Rate -0.000000, index 512791
Top hit found! SNR 77.574615, Drift Rate 20.242693, index 525213
Top hit found! SNR 38.241199, Drift Rate -0.000000, index 545773
Top hit found! SNR 24.399586, Drift Rate -0.000000, index 578755
Top hit found! SNR 21.037092, Drift Rate -0.000000, index 611736
Top hit found! SNR 2745.130859, Drift Rate -0.000000, index 710677
Top hit found! SNR 14.481981, Drift Rate -0.114798, index 735109
Top hit found! SNR 12.463048, Drift Rate -0.000000, index 809617
Top hit found! SNR 34.056782, Drift Rate -0.000000, index 842599
Top hit found! SNR 12.596675, Drift Rate -0.009566, index 875580
Top hit found! SNR 13.218899, Drift Rate -0.000000, index 941544
Top hit found! SNR 50.410866, Drift Rate -0.000000, index 974521
